Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;23.04.2013;Shell response re oil pollution in the Niger Delta;EJOLT reports on research mission to Niger Delta, highlighting the environmental and social problems created by oil extraction;Alien Tort Claims Act (USA)|Clean, Healthy & Sustainable Environment|Corporate Legal Accountability|Economic, Social, and Cultural Rights|Killings|Lawsuits & regulatory action;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-re-oil-pollution-in-the-niger-delta/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;;02.05.2013;Vale response;Brazil: Public Prosecutor opens investigation into allegations of spying by Vale on human rights defenders;Right to Privacy;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vale-response-2/;https://www.business-humanrights.org/en/companies/vale/;;
Nestlé;Food & beverage;CH;CO;;Food & beverage;13.05.2013;Nestlé response to press release by European Center for Constitutional and Human Rights regarding dismissal of criminal complaint by Swiss prosecutors;"NGO critical of Swiss prosecutors' handling of case against Nestlé;  complaint alleged Nestlé was complicit in killing of Colombian trade unionist";Freedom of Association|Killings|Labour Rights;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-to-press-release-by-european-center-for-constitutional-and-human-rights-regarding-dismissal-of-criminal-complaint-by-swiss-prosecutors/;https://www.business-humanrights.org/en/companies/nestlé/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;13.08.2013;[Nigera] Shell response re alleged community & environmental impacts of Trans-Niger pipeline oil spill & fire;Amnesty Intl. & Nigerian NGO coalition call for govt. investigation into Shell's operations after fire & spills lead to closure of Trans Niger Pipeline;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/nigera-shell-response-re-alleged-community-environmental-impacts-of-trans-niger-pipeline-oil-spill-fire/;https://www.business-humanrights.org/en/companies/shell-plc/;;
China National Petroleum Corporation (CNPC);Oil, gas & coal;CN;MM;;Oil, gas & coal;03.08.2013;Chinese National Petroleum Corporation (CNPC) response to reports on alleged human rights impacts of Shwe gas & Myanmar-China oil transport projects;Further to our 26 Jun Update: Chinese National Petroleum Corporation responds to alleged human rights impacts of Shwe natural gas & Myanmar-China oil transport projects.;Chinese Overseas Investment|Clean, Healthy & Sustainable Environment|Displacement|Land Rights|Ownership of Property & Possessions;Yes;Chinese National Petroleum Corporation (CNPC);https://www.business-humanrights.org/en/latest-news/chinese-national-petroleum-corporation-cnpc-response-to-reports-on-alleged-human-rights-impacts-of-shwe-gas-myanmar-china-oil-transport-projects/;https://www.business-humanrights.org/en/companies/china-national-petroleum-corporation-cnpc/;;
Coca-Cola;Food & beverage;US;MM;;Food & beverage;16.11.2013;Coca-Cola response;US Govt’s Burma Responsible Investment Reporting Requirements - reports, comments, guidelines & company responses;Clean, Healthy & Sustainable Environment|Company Policies|Labour Rights;Yes;Edward E. Potter, Coca-Cola;https://www.business-humanrights.org/en/latest-news/coca-cola-response/;https://www.business-humanrights.org/en/companies/coca-cola/;;
PepsiCo;Food & beverage;US;BR|ID;;Food & beverage;19.11.2013;PepsiCo response;Oxfam calls on Associated British Foods & PepsiCo to follow Coca-Cola's lead in ensuring sugar in their supply chains does not lead to land grabs;Labour Rights|Land Rights|Personal Health;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response/;https://www.business-humanrights.org/en/companies/pepsico/;;
Nestlé;Food & beverage;CH;CO|PK;;Food & beverage;07.01.2014;Nestlé & Danish Institute for Human Rights joint response;Nestlé lawsuit (re Colombia);Access to Water|Child labour|Company Advances on Human Rights|Killings|Labour Rights|UN Guiding Principles on Business & Human Rights (UNGPs);Yes;Nestlé & Danish Institute for Human Rights;https://www.business-humanrights.org/en/latest-news/nestlé-danish-institute-for-human-rights-joint-response/;https://www.business-humanrights.org/en/companies/nestlé/;;
Nike;Clothing & textile|Footwear|Sporting goods;US;;;Clothing & textile;21.07.2012;Nike response;Briefing explores link between business ethics & human rights, highlights concerns over Nike labour practices;;Yes;Nike;https://www.business-humanrights.org/en/latest-news/nike-response/;https://www.business-humanrights.org/en/companies/nike/;;
Nestlé;Food & beverage;CH;CO;;Food & beverage;21.02.2014;Nestlé response to ECCHR press release “Swiss judiciary must investigate Nestlé case” of 9 January 2014;Nestlé lawsuit (re Colombia);;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-to-ecchr-press-release-swiss-judiciary-must-investigate-nestlé-case-of-9-january-2014/;https://www.business-humanrights.org/en/companies/nestlé/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;MM;;Oil, gas & coal;04.03.2014;Response from Total on a report about its operations in Kanbauk, Tenasserim Division, Myanmar;Myanmar: Residents protest against Petronas, PTT & Total for allegedly causing health & environmental problems through their operations in Kanbauk, Tenasserim Division;;Yes;Total;https://www.business-humanrights.org/en/latest-news/response-from-total-on-a-report-about-its-operations-in-kanbauk-tenasserim-division-myanmar/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;GB;;Oil, gas & coal;07.04.2014;Shell’s response to UK Foreign Office documents revealing Shell & Rio Tinto sought support from UK Govt. in US lawsuits alleging human rights abuses;Rio Tinto lawsuit (re Papua New Guinea);;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shells-response-to-uk-foreign-office-documents-revealing-shell-rio-tinto-sought-support-from-uk-govt-in-us-lawsuits-alleging-human-rights-abuses/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Rio Tinto;Mining;GB;GB;;Oil, gas & coal;09.04.2014;Rio Tinto's response;;UN Guiding Principles on Business & Human Rights (UNGPs);Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-2/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;PH;;Mining;22.04.2014;Glencore Xstrata response to Global Witness’ report “Deadly Environment”;Global Witness' new report identifies rise in killings of environmental & land rights defenders, industrial logging, mining key drivers;Indigenous Peoples|Killings;Yes;Glencore Xstrata;https://www.business-humanrights.org/en/latest-news/glencore-xstrata-response-to-global-witness-report-deadly-environment/;https://www.business-humanrights.org/en/companies/glencore/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;;;Oil, gas & coal;27.05.2014;Shell response;Report claims Shell uses Swiss operations to avoid paying taxes in developing countries;;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-2/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;;;;17.06.2014;Glencore response to Key Findings and Questions, presented by Bread for All, the Swiss Catholic Lenten Fund and RAID [Democratic Republic of Congo];NGO report raises serious concerns re human rights, environmental & social impacts of Glencore's operations in Dem. Republic of Congo;Universal Declaration of Human Rights (UDHR)|Voluntary Principles on Security & Human Rights;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencore-response-to-key-findings-and-questions-presented-by-bread-for-all-the-swiss-catholic-lenten-fund-and-raid-democratic-republic-of-congo/;https://www.business-humanrights.org/en/companies/glencore/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN;;Clothing & textile;16.04.2008;Response by adidas: Allegations of rigged union election at Shunda factory, decline in working conditions since adidas acquired Reebok.;China: Allegations of rigged union elections and poor working conditions at factory supplying adidas;;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-allegations-of-rigged-union-election-at-shunda-factory-decline-in-working-conditions-since-adidas-acquired-reebok/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN;;Clothing & textile;16.04.2008;Response by adidas: Report by Sunday Times (UK) alleges labour abuses at adidas suppliers in Fuzhou, including Shunda factory.;China: Allegations of labour abuses at factory supplying adidas (Sunday Times);;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-report-by-sunday-times-uk-alleges-labour-abuses-at-adidas-suppliers-in-fuzhou-including-shunda-factory/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;SV;;Clothing & textile;17.02.2010;Response by adidas: National Labor Committee alleges labour abuses at Chi Fung Factory supplying Reebok (part of adidas) & National Football League.;NLC report re Chi Fung Factory - Feb 2010;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-national-labor-committee-alleges-labour-abuses-at-chi-fung-factory-supplying-reebok-part-of-adidas-national-football-league/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;SV;;Clothing & textile;23.03.2010;Response by adidas: National Labor Committee alleges labour abuses at Chi Fung Factory supplying Reebok (part of adidas) & National Football League.;NLC report re Chi Fung Factory - Feb 2010;Labour Rights|Women;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-national-labor-committee-alleges-labour-abuses-at-chi-fung-factory-supplying-reebok-part-of-adidas-national-football-league-2/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;SD;;Clothing & textile;12.12.2007;Response by adidas: Olympic Dream for Darfur calls on Olympic corporate sponsors, including adidas, to raise Sudan concerns with Chinese Govt.;;Complicity|Genocide|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-adidas-to-raise-sudan-concerns-with-chinese-govt/;https://www.business-humanrights.org/en/companies/adidas/;;
Anheuser-Busch (part of Anheuser-Busch InBev);Food & beverage;US;KH;;Food & beverage;07.06.2006;"Anheuser-Busch (part of Anheuser-Busch InBev) did not respond to: Australian Council of Trade Unions campaign raises concerns about health & working conditions of ""beer promotion women"".";Asia: Campaign spotlights health dangers to young women promoting major beer brands;;No;;https://www.business-humanrights.org/en/latest-news/anheuser-busch-part-of-anheuser-busch-inbev-did-not-respond-to-australian-council-of-trade-unions-campaign-raises-concerns-about-health-working-conditions-of-beer-promotion-women/;https://www.business-humanrights.org/en/companies/anheuser-busch-part-of-anheuser-busch-inbev/;;
Anheuser-Busch (part of Anheuser-Busch InBev);Food & beverage;US;SD;;Food & beverage;12.12.2007;Response by Anheuser-Busch (part of Anheuser-Busch InBev): Olympic Dream for Darfur calls on Olympic corporate sponsors, including Anheuser-Busch, to raise Sudan concerns with Chinese Govt.;;Complicity|Displacement|Genocide|Ownership of Property & Possessions|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-anheuser-busch-part-of-anheuser-busch-inbev-olympic-dream-for-darfur-calls-on-olympic-corporate-sponsors-including-anheuser-busch-to-raise-sudan-concerns-with-chinese-govt/;https://www.business-humanrights.org/en/companies/anheuser-busch-part-of-anheuser-busch-inbev/;;
Archer Daniels Midland (ADM);Agriculture & livestock;US;CI;;Agriculture & livestock|Chocolate & cocoa;07.03.2012;"Response by Archer Daniels Midland: ""Bloody Valentine: Child Slavery in Ivory Coast's Cocoa Fields"".";Alleged child labour in supply chain of Cargill, Barry Callebaut & Archer Daniels Midland in the Ivory Coast;Child labour|Forced Labour & Modern Slavery;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-archer-daniels-midland-bloody-valentine-child-slavery-in-ivory-coasts-cocoa-fields/;https://www.business-humanrights.org/en/companies/archer-daniels-midland-adm/;;
